Data;Hora;Temperatura;Umidade
25/11/18;1800;31;48
26/11/18;0;26;72
26/11/18;1200;22;72
26/11/18;1800;29.2;50
27/11/18;0;24.2;68
27/11/18;1200;23.2;65
27/11/18;1800;29.8;48
28/11/18;0;26;67
28/11/18;1200;23.2;70
28/11/18;1800;30.6;48
29/11/18;0;26.4;66
29/11/18;1200;24;77
29/11/18;1800;26.4;72
30/11/18;0;23.6;80
30/11/18;1200;26.2;72
30/11/18;1800;31.4;49
01/12/18;0;25;74
01/12/18;1200;24;85
01/12/18;1800;30.4;58
02/12/18;0;26.2;69
02/12/18;1200;25.4;68
02/12/18;1800;23;78
03/12/18;0;24;77
03/12/18;1200;22;67
03/12/18;1800;29.4;56
04/12/18;0;24.2;72
04/12/18;1200;23.8;70
04/12/18;1800;31.8;41
05/12/18;0;26;52
05/12/18;1200;24.8;54
05/12/18;1800;33.2;36
06/12/18;0;26.8;57
06/12/18;1200;24.4;52
06/12/18;1800;33.2;34
07/12/18;0;28;52
07/12/18;1200;23.8;74
07/12/18;1800;30.4;45
08/12/18;0;25;53
08/12/18;1200;18.8;75
08/12/18;1800;26;48
09/12/18;0;21.2;65
09/12/18;1200;19.6;60
09/12/18;1800;29.4;39
10/12/18;0;24.8;61
10/12/18;1200;24;61
10/12/18;1800;32.2;39
11/12/18;0;29;54
11/12/18;1200;27.2;57
11/12/18;1800;33.2;35
12/12/18;0;29.8;49
12/12/18;1200;28.2;53
12/12/18;1800;33.2;36
13/12/18;0;30;46
13/12/18;1200;27.8;58
13/12/18;1800;33.6;41
14/12/18;0;25.8;71
14/12/18;1200;26.4;68
14/12/18;1800;34;38
15/12/18;0;27;67
15/12/18;1200;28;65
15/12/18;1800;30.6;55
16/12/18;0;24.4;78
16/12/18;1200;23;86
16/12/18;1800;31.8;57
17/12/18;0;25.6;75
17/12/18;1200;28;68
17/12/18;1800;34;46
18/12/18;0;25;64
18/12/18;1200;27;67
18/12/18;1800;32;50
19/12/18;0;27.2;67
19/12/18;1200;27;66
19/12/18;1800;32.4;53
20/12/18;0;29.2;69
20/12/18;1200;28.4;68
20/12/18;1800;34.6;44
21/12/18;0;27;68
21/12/18;1200;29.2;64
21/12/18;1800;23.2;84
22/12/18;0;23.2;79
22/12/18;1200;24.6;81
22/12/18;1800;32.6;53
23/12/18;0;22.8;90
23/12/18;1200;23.4;88
23/12/18;1800;28;67
24/12/18;0;23;91
24/12/18;1200;23;89
24/12/18;1800;22.2;92
25/12/18;0;22;94
25/12/18;1200;21.2;85
25/12/18;1800;27.6;67
26/12/18;0;25;81
26/12/18;1200;23;75
26/12/18;1800;29.4;61
27/12/18;0;26.2;75
27/12/18;1200;25;73
27/12/18;1800;30.6;57
28/12/18;0;27.8;71
28/12/18;1200;25;72
28/12/18;1800;29.8;61
29/12/18;0;25.6;85
29/12/18;1200;25.4;76
29/12/18;1800;31.6;52
30/12/18;0;28;73
30/12/18;1200;25.6;75
30/12/18;1800;32.4;54
31/12/18;0;26.6;78
31/12/18;1200;27.2;70
31/12/18;1800;33.6;49
